,image_url,link,title,manufacturer,model,generation,year,min_price,max_price,mileage,time_online,last_seen,date_listed,sold,site
59,https://photos.webuycars.co.za/photobooth/046402265/Images/0464022650.webp,,2007 BMW  1 Series 116i (E87),bmw,1 series,,2007,45000,54900,317585,21 days 15:18:03.250998,2024-08-30 08:15:46.175496,2024-08-08 16:57:42.924498,True,webuycars
60,https://photos.webuycars.co.za/photobooth/04B303333/Images/04B3033330.webp,,2012 BMW  3 Series 320i Auto (F30),bmw,3 series,,2012,134000,145900,138000,13 days 16:18:15.423633,2024-08-23 09:21:51.832121,2024-08-09 17:03:36.408488,True,webuycars
61,https://photos.webuycars.co.za/photobooth/04C511590/Images/04C5115900.webp,,2004 Toyota  Corolla 160i GLE,toyota,corolla,,2004,42000,42000,351000,1 days 19:05:26.264137,2024-07-29 09:28:23.982315,2024-07-27 14:22:57.718178,True,webuycars
62,https://photos.webuycars.co.za/photobooth/04D605678/Images/04D6056780.webp,,2005 Toyota  Corolla 140i,toyota,corolla,,2005,34000,35000,287000,1 days 15:51:59.442851,2024-08-18 09:39:37.463287,2024-08-16 17:47:38.020436,True,webuycars
63,https://photos.webuycars.co.za/photobooth/04E604205/Images/04E6042050.webp,,2011 Toyota  Corolla 1.3 Professional,toyota,corolla,,2011,57000,57000,239000,0 days 00:00:00,2024-08-14 08:43:06.391402,2024-08-14 08:43:06.391402,True,webuycars
64,https://photos.webuycars.co.za/photobooth/050A13331/Images/050A133310.webp,,2016 BMW  3 Series 320i M Sport (F30),bmw,3 series,,2016,140900,179900,211900,44 days 04:30:06.917830,2024-08-26 18:24:16.128494,2024-07-13 13:54:09.210664,True,webuycars
65,https://photos.webuycars.co.za/photobooth/051B04839/Images/051B048390.webp,,2017 BMW  1 Series 118i 5-Door Auto (F20),bmw,1 series,,2017,190000,234900,145000,47 days 23:10:36.304862,2024-08-30 12:38:38.267840,2024-07-13 13:28:01.962978,True,webuycars
66,https://photos.webuycars.co.za/photobooth/051C03695/Images/051C036950.webp,,2010 Porsche  Boxster Boxster,porsche,boxster,,2010,333000,373900,103000,34 days 20:23:15.100234,2024-07-25 07:54:18.324745,2024-06-20 11:31:03.224511,True,webuycars
67,https://photos.webuycars.co.za/photobooth/052200437/Images/0522004370.webp,,2022 Toyota  Prado TX 2.8gd Auto,toyota,land-cruiser-prado,4th gen,2022,848900,872900,52000,22 days 01:26:03.658727,2024-07-26 09:21:24.384048,2024-07-04 07:55:20.725321,True,webuycars
68,https://photos.webuycars.co.za/photobooth/054106956/Images/0541069560.webp,,2013 BMW  1 Series 116i 5-Door (F20),bmw,1 series,,2013,83000,83000,999,0 days 00:00:00,2024-07-19 07:47:59.935270,2024-07-19 07:47:59.935270,True,webuycars
69,https://photos.webuycars.co.za/photobooth/054E02190/Images/054E021900.webp,,2024 KIA  Picanto 1.0 Start,porsche,cayenne,,2024,188900,220900,130,41 days 05:33:08.099375,2024-08-23 13:34:39.009835,2024-07-13 08:01:30.910460,True,webuycars
70,https://photos.webuycars.co.za/photobooth/055410758/Images/0554107580.webp,,2013 Toyota  Yaris 1.3 XS 5-Door,toyota,yaris,,2013,79900,79900,219000,1 days 03:26:09.119567,2024-08-30 12:41:17.979432,2024-08-29 09:15:08.859865,True,webuycars
71,https://photos.webuycars.co.za/photobooth/055A02829/Images/055A028290.webp,,2009 Toyota  Corolla 1.8 Exclusive Auto,toyota,corolla,,2009,85000,85000,148000,1 days 16:12:13.886507,2024-07-11 09:01:11.127455,2024-07-09 16:48:57.240948,True,webuycars
72,https://photos.webuycars.co.za/photobooth/056B10120/Images/056B101200.webp,,2013 BMW  3 Series 320i Auto (F30),bmw,3 series,,2013,159000,159000,116762,2 days 19:45:17.944053,2024-07-30 10:05:36.386252,2024-07-27 14:20:18.442199,True,webuycars
73,https://photos.webuycars.co.za/photobooth/056F01739/Images/056F017390.webp,https://www.webuycars.co.za/buy-a-car/BMW/1 Series/056F01739,2008 BMW  1 Series 120i 3-Door (E81),bmw,1 series,,2008,75900,83900,135000,27 days 14:55:21.856298,2024-09-03 09:40:36.524459,2024-08-06 18:45:14.668161,False,webuycars
74,https://photos.webuycars.co.za/photobooth/057904403/Images/0579044030.webp,,2020 BMW  3 Series 330i Auto (G20),bmw,3 series,,2020,481900,496900,107500,38 days 20:50:28.307305,2024-08-21 10:44:37.517969,2024-07-13 13:54:09.210664,True,webuycars
75,https://photos.webuycars.co.za/photobooth/057D04309/Images/057D043090.webp,,2018 Toyota  Prado Vx-L 3.0d Auto,toyota,land-cruiser-prado,4th gen,2018,752000,752000,103568,0 days 00:00:00,2024-07-13 08:02:07.023634,2024-07-13 08:02:07.023634,True,webuycars
76,https://photos.webuycars.co.za/photobooth/058102488/Images/0581024880.webp,,2005 BMW  3 Series 320d (E90),bmw,3 series,,2005,50900,59900,206278,14 days 04:30:47.526357,2024-08-23 13:34:39.009835,2024-08-09 09:03:51.483478,True,webuycars
77,https://photos.webuycars.co.za/photobooth/058306574/Images/0583065740.webp,,2013 Mercedes-Benz  C Class C180 Avantgarde Auto,mercedes-benz,c class,,2013,225000,231900,95637,22 days 00:14:29.144662,2024-08-07 15:32:38.707507,2024-07-16 15:18:09.562845,True,webuycars
