,manufacturer,model,generation,year,min_price,max_price,time_online,last_seen,date_listed,mileage,status,site,title,ad_id,image_url,display_name
5702,Bmw,1 series,,2015,219995.0,229995.0,9 days 08:41:29.269266,2024-10-11 15:14:13.549041,2024-10-02 06:32:44.279775,78000,True,autotrader,2015 BMW 1 Series 118i 5-Door Auto,27707221,https://img.autotrader.co.za/33609623/Crop800x600,Bmw 1 series
5703,Bmw,1 series,,2021,659000.0,659000.0,8 days 15:03:10.209614,2024-10-10 21:35:54.489389,2024-10-02 06:32:44.279775,49000,True,autotrader,2021 BMW 1 Series M135i xDrive,27707234,https://img.autotrader.co.za/33631121/Crop800x600,Bmw 1 series
5704,Bmw,3 series,,2013,175000.0,175000.0,4 days 12:47:44.795699,2024-10-06 19:26:48.692571,2024-10-02 06:39:03.896872,176000,True,autotrader,2013 BMW 3 Series 320i Sport Auto,27707239,https://img.autotrader.co.za//Crop800x600,Bmw 3 series
5705,Bmw,3 series,,2021,499950.0,499950.0,1 days 02:48:58.301382,2024-10-03 09:28:02.198254,2024-10-02 06:39:03.896872,67000,True,autotrader,2021 BMW 3 Series 320i M Sport,27707266,https://img.autotrader.co.za//Crop800x600,Bmw 3 series
5706,Bmw,3 series,,2019,549900.0,549900.0,0 days 00:00:00,2024-10-02 06:39:03.896872,2024-10-02 06:39:03.896872,70300,True,autotrader,2019 BMW 3 Series 320d M Sport,27707267,https://img.autotrader.co.za//Crop800x600,Bmw 3 series
5707,Bmw,m3,f80,2019,1250000.0,1250000.0,1 days 02:48:57.767513,2024-10-03 09:29:00.664944,2024-10-02 06:40:02.897431,38800,True,autotrader,2019 BMW M3 Competition,27707289,https://img.autotrader.co.za//Crop800x600,Bmw m3
5708,Bmw,3 series,,2019,468000.0,468000.0,8 days 15:03:02.289138,2024-10-10 21:42:06.186010,2024-10-02 06:39:03.896872,78000,True,autotrader,2019 BMW 3 Series 330i M Sport,27707293,https://img.autotrader.co.za/33610354/Crop800x600,Bmw 3 series
5709,Bmw,3 series,,2010,159995.0,159995.0,12 days 11:34:14.699140,2024-10-14 18:13:18.596012,2024-10-02 06:39:03.896872,169000,True,autotrader,2010 BMW 3 Series 330i Auto,27707322,https://img.autotrader.co.za/33610707/Crop800x600,Bmw 3 series
5710,Bmw,m2,,2019,949995.0,949995.0,4 days 12:47:44.371539,2024-10-06 19:27:11.914077,2024-10-02 06:39:27.542538,73000,True,autotrader,2019 BMW M2 Competition Auto,27707332,https://img.autotrader.co.za//Crop800x600,Bmw m2
5711,Bmw,3 series,,2009,149995.0,149995.0,0 days 00:00:00,2024-10-02 06:39:03.896872,2024-10-02 06:39:03.896872,150000,True,autotrader,2009 BMW 3 Series 325i Exclusive,27707360,https://img.autotrader.co.za//Crop800x600,Bmw 3 series
5712,Bmw,3 series,,2017,399900.0,399900.0,0 days 00:00:00,2024-10-02 06:39:03.896872,2024-10-02 06:39:03.896872,126200,True,autotrader,2017 BMW 3 Series 330d M Sport Auto,27707368,https://img.autotrader.co.za//Crop800x600,Bmw 3 series
5713,Bmw,1 series,,2024,759000.0,759000.0,47 days 04:10:27.903697,2024-11-18 10:43:12.183472,2024-10-02 06:32:44.279775,11000,False,autotrader,2024 BMW 1 Series 128ti Mzansi Edition,27707390,https://img.autotrader.co.za/33611552/Fit640x480,Bmw 1 series
5714,Bmw,3 series,,2017,389900.0,389900.0,47 days 04:12:11.975962,2024-11-18 10:51:15.872834,2024-10-02 06:39:03.896872,101000,False,autotrader,2017 BMW 3 Series 320d M Sport auto,27707395,https://img.autotrader.co.za/33813442/Fit640x480,Bmw 3 series
5715,Bmw,1 series,,2013,219000.0,219000.0,25 days 12:10:34.164879,2024-10-27 18:43:18.444654,2024-10-02 06:32:44.279775,123000,True,autotrader,2013 BMW 1 Series 120d Coupe Exclusive Auto,27707419,https://img.autotrader.co.za/33612084/Crop640x480,Bmw 1 series
5716,Bmw,m2,,2019,939000.0,939000.0,12 days 11:34:15.204345,2024-10-14 18:13:42.746883,2024-10-02 06:39:27.542538,57000,True,autotrader,2019 BMW M2 Competition Auto,27707450,https://img.autotrader.co.za/33630605/Crop800x600,Bmw m2
5717,Toyota,land-cruiser-prado,4th gen,2021,919900.0,949900.0,15 days 09:57:46.664937,2024-10-17 16:46:12.569119,2024-10-02 06:48:25.904182,42040,True,autotrader,2021 Toyota Land Cruiser Prado 2.8GD VX,27707509,https://img.autotrader.co.za/33620631/Crop800x600,Toyota land-cruiser-prado
5718,Bmw,1 series,,2013,179900.0,179900.0,0 days 00:00:00,2024-10-02 06:32:44.279775,2024-10-02 06:32:44.279775,92597,True,autotrader,2013 BMW 1 Series 118i 5-Door Auto,27707653,https://img.autotrader.co.za//Crop800x600,Bmw 1 series
5719,Bmw,m3,e46,2003,349000.0,349000.0,3 days 03:08:16.319726,2024-11-18 10:53:45.428143,2024-11-15 07:45:29.108417,170000,False,autotrader,2003 BMW M3 Coupe,27707664,https://img.autotrader.co.za/34537607/Fit640x480,Bmw m3
5720,Mercedes-Amg,c class,,2017,1095899.0,1144900.0,27 days 02:22:55.740338,2024-10-29 09:11:51.544739,2024-10-02 06:48:55.804401,63000,True,autotrader,2017 Mercedes-AMG C-Class C63 S Coupe,27707679,https://img.autotrader.co.za/33615137/Crop640x480,Mercedes-Amg c class
5721,Bmw,3 series,,2017,235000.0,235000.0,32 days 05:42:16.056416,2024-11-03 12:21:19.953288,2024-10-02 06:39:03.896872,127000,True,autotrader,2017 BMW 3 Series 320i M Sport Auto,27707717,https://img.autotrader.co.za/33615347/Crop640x480,Bmw 3 series
5722,Toyota,land-cruiser-prado,4th gen,2014,449950.0,449950.0,16 days 05:06:10.251632,2024-10-18 11:54:36.155814,2024-10-02 06:48:25.904182,295000,True,autotrader,2014 Toyota Land Cruiser Prado 3.0DT VX,27707741,https://img.autotrader.co.za/33615929/Crop800x600,Toyota land-cruiser-prado
5723,Bmw,m5,,2018,1099000.0,1099000.0,4 days 12:47:40.074964,2024-10-06 19:28:39.373185,2024-10-02 06:40:59.298221,38000,True,autotrader,2018 BMW M5 Standard Edition,27707765,https://img.autotrader.co.za//Crop800x600,Bmw m5
5724,Bmw,3 series,,2019,474999.0,474999.0,1 days 02:48:58.301382,2024-10-03 09:28:02.198254,2024-10-02 06:39:03.896872,78000,True,autotrader,2019 BMW 3 Series 330i M Sport,27707776,https://img.autotrader.co.za//Crop800x600,Bmw 3 series
